Refund,Marital Status,Taxable Income,Cheat
Yes,Married,57k,Yes
No,Married,143k,No
No,Divorced,57k,Yes
No,Married,76k,No
Yes,Divorced,69k,No
No,Single,181k,No
Yes,Divorced,235k,No
No,Single,216k,No
Yes,Married,96k,No
No,Married,63k,No
Yes,Divorced,217k,No
No,Single,233k,No
Yes,Single,168k,No
Yes,Married,188k,No
No,Single,70k,Yes
Yes,Married,185k,No
Yes,Divorced,239k,No
Yes,Married,114k,No
No,Single,217k,No
No,Married,166k,Yes
No,Divorced,167k,No
No,Divorced,70k,Yes
No,Married,219k,No
Yes,Single,117k,No
No,Divorced,105k,Yes
No,Married,225k,No
No,Single,151k,No
No,Single,244k,Yes
Yes,Single,217k,No
No,Married,126k,No
No,Divorced,204k,No
No,Single,221k,No
Yes,Single,168k,Yes
No,Single,164k,No
No,Single,165k,No
No,Single,106k,No
Yes,Married,166k,No
No,Single,127k,No
No,Divorced,180k,No
Yes,Single,246k,No
No,Single,103k,No
No,Married,77k,No
No,Married,147k,Yes
Yes,Married,127k,No
No,Single,157k,No
No,Married,64k,No
No,Single,70k,Yes
No,Single,169k,No
No,Divorced,206k,Yes
Yes,Single,59k,No
No,Divorced,51k,Yes
Yes,Divorced,75k,No
Yes,Married,56k,Yes
No,Single,111k,No
No,Single,205k,No
No,Single,140k,No
Yes,Married,189k,No
No,Single,161k,No
No,Married,179k,No
Yes,Married,233k,No
No,Married,241k,No
Yes,Divorced,62k,Yes
Yes,Divorced,139k,No
Yes,Married,76k,Yes
No,Single,152k,Yes
No,Divorced,109k,Yes
No,Single,160k,No
Yes,Single,173k,No
Yes,Divorced,140k,No
No,Married,218k,No
No,Single,176k,No
Yes,Single,218k,No
No,Married,177k,No
No,Divorced,56k,Yes
No,Single,84k,Yes
Yes,Married,237k,No
No,Single,229k,No
No,Single,125k,No
No,Married,102k,No
Yes,Married,108k,No
No,Divorced,93k,Yes
No,Married,69k,No
No,Divorced,78k,Yes
No,Divorced,61k,Yes
No,Married,182k,No
Yes,Married,171k,No
No,Married,179k,No
No,Married,107k,No
No,Single,109k,No
No,Married,120k,No
No,Married,66k,No
No,Married,208k,No
No,Married,77k,No
No,Married,65k,No
No,Married,182k,No
Yes,Married,160k,Yes
No,Single,222k,No
No,Single,139k,Yes
No,Married,116k,No
No,Married,111k,No
Yes,Divorced,50k,No
No,Divorced,55k,Yes
No,Married,232k,No
Yes,Single,132k,No
No,Single,214k,No
No,Divorced,73k,Yes
Yes,Divorced,72k,No
No,Single,97k,Yes
No,Divorced,139k,No
Yes,Single,98k,No
Yes,Single,164k,No
Yes,Divorced,95k,No
No,Single,165k,No
No,Married,54k,Yes
No,Married,232k,No
No,Divorced,56k,Yes
Yes,Divorced,165k,No
Yes,Divorced,162k,No
No,Single,141k,No
No,Married,236k,No
Yes,Married,81k,Yes
Yes,Single,240k,No
No,Single,114k,No
No,Single,195k,No
Yes,Single,88k,Yes
No,Married,103k,No
Yes,Single,55k,No
No,Married,221k,No
No,Single,185k,No
Yes,Single,124k,No
No,Divorced,178k,Yes
No,Divorced,220k,No
No,Married,60k,No
Yes,Married,244k,No
Yes,Single,74k,No
No,Married,145k,No
Yes,Single,134k,No
No,Married,124k,No
No,Married,193k,No
Yes,Single,131k,No
No,Single,204k,No
Yes,Married,111k,No
Yes,Married,214k,No
No,Single,214k,No
No,Divorced,77k,Yes
Yes,Single,130k,No
No,Single,216k,No
No,Divorced,138k,Yes
No,Single,204k,No
Yes,Divorced,147k,No
No,Divorced,196k,No
No,Married,153k,No
No,Single,106k,No
Yes,Married,195k,No
No,Married,69k,No
No,Married,143k,No
No,Single,146k,No
Yes,Single,63k,No
Yes,Single,178k,No
Yes,Single,202k,No
No,Married,87k,No
No,Single,162k,Yes
No,Single,117k,No
No,Single,206k,No
Yes,Single,147k,Yes
Yes,Divorced,149k,No
No,Single,163k,Yes
No,Married,180k,No
No,Divorced,194k,Yes
Yes,Single,143k,Yes
No,Single,189k,No
Yes,Divorced,137k,Yes
No,Married,224k,Yes
No,Divorced,74k,Yes
No,Divorced,59k,Yes
Yes,Married,130k,No
No,Divorced,196k,No
Yes,Single,59k,No
No,Single,96k,Yes
No,Single,86k,Yes
No,Married,101k,No
No,Single,248k,Yes
Yes,Married,169k,No
No,Married,182k,Yes
Yes,Single,181k,No
Yes,Single,188k,No
Yes,Single,156k,No
No,Married,241k,No
No,Married,114k,No
No,Married,225k,Yes
Yes,Single,151k,No
No,Single,182k,No
No,Married,87k,No
No,Married,97k,Yes
No,Single,137k,No
No,Married,90k,No
No,Single,55k,Yes
No,Single,65k,Yes
Yes,Married,120k,No
Yes,Married,89k,No
No,Married,144k,No
Yes,Single,247k,No
No,Single,88k,Yes
No,Married,208k,No
No,Single,249k,No
No,Single,140k,No
Yes,Married,102k,No
No,Divorced,217k,No
No,Married,84k,No
Yes,Single,211k,No
No,Divorced,95k,Yes
Yes,Divorced,170k,No
Yes,Married,55k,No
No,Married,83k,No
No,Married,170k,No
No,Divorced,129k,Yes
No,Divorced,206k,No
No,Single,51k,Yes
No,Single,230k,Yes
No,Single,99k,Yes
No,Divorced,173k,No
Yes,Divorced,234k,No
Yes,Married,114k,No
No,Married,159k,No
No,Divorced,89k,Yes
No,Single,96k,Yes
No,Married,139k,No
No,Single,123k,No
Yes,Single,237k,No
Yes,Divorced,84k,No
No,Divorced,210k,Yes
Yes,Divorced,136k,No
Yes,Single,236k,No
No,Married,149k,No
No,Married,173k,No
No,Single,128k,No
No,Divorced,125k,No
No,Divorced,92k,Yes
Yes,Single,96k,No
No,Married,72k,No
Yes,Married,99k,Yes
No,Single,106k,No
No,Married,79k,No
Yes,Single,200k,No
No,Married,96k,No
No,Married,106k,No
No,Single,239k,No
Yes,Married,145k,No
Yes,Divorced,101k,No
No,Divorced,183k,No
No,Married,201k,No
No,Divorced,159k,No
No,Single,88k,Yes
No,Single,206k,No
Yes,Single,162k,No
Yes,Single,97k,No
No,Single,51k,Yes
No,Single,134k,No
Yes,Divorced,235k,No
Yes,Divorced,180k,No
Yes,Married,246k,No
No,Married,166k,No
No,Married,109k,No
No,Married,69k,Yes
No,Divorced,163k,No
Yes,Married,83k,No
Yes,Divorced,95k,No
No,Married,129k,Yes
No,Single,58k,Yes
Yes,Married,220k,No
Yes,Married,100k,No
No,Divorced,120k,Yes
Yes,Single,138k,No
No,Married,209k,No
No,Single,172k,No
No,Single,201k,No
No,Divorced,205k,No
No,Single,73k,Yes
No,Married,57k,No
Yes,Single,130k,No
No,Single,72k,Yes
Yes,Divorced,79k,No
Yes,Married,204k,No
No,Single,77k,Yes
Yes,Single,83k,No
Yes,Married,128k,No
No,Single,118k,No
Yes,Single,221k,No
Yes,Single,193k,No
Yes,Single,164k,No
No,Single,215k,No
No,Single,66k,Yes
No,Married,240k,No
No,Single,88k,Yes
No,Single,246k,No
No,Married,104k,Yes
No,Married,62k,No
Yes,Single,145k,No
No,Single,165k,No
Yes,Married,78k,Yes
No,Single,130k,No
No,Married,108k,No
No,Single,157k,No
Yes,Married,226k,No
No,Divorced,139k,Yes
No,Married,239k,No
Yes,Married,91k,No
Yes,Divorced,143k,Yes
No,Divorced,168k,No
No,Single,177k,No
No,Married,243k,No
No,Married,176k,No
Yes,Divorced,160k,No
No,Married,113k,No
No,Married,56k,No
Yes,Single,237k,No
No,Married,57k,Yes
Yes,Single,157k,No
Yes,Single,249k,No
No,Single,169k,No
No,Married,126k,No
No,Single,122k,No
No,Married,129k,No
No,Divorced,50k,Yes
No,Married,178k,No
No,Married,136k,No
No,Divorced,147k,No
Yes,Single,163k,No
No,Single,60k,Yes
Yes,Married,165k,No
Yes,Single,220k,No
Yes,Single,114k,Yes
No,Single,70k,Yes
No,Divorced,157k,No
No,Married,90k,No
No,Married,247k,No
Yes,Single,216k,No
Yes,Single,163k,No
No,Single,133k,No
No,Single,88k,Yes
Yes,Married,121k,Yes
Yes,Divorced,114k,No
Yes,Single,135k,No
No,Divorced,61k,Yes
No,Single,200k,No
No,Single,120k,No
No,Married,248k,No
No,Divorced,159k,Yes
Yes,Divorced,204k,No
No,Single,177k,No
Yes,Married,54k,No
No,Married,179k,No
No,Single,212k,No
Yes,Divorced,89k,No
Yes,Single,177k,Yes
Yes,Single,190k,No
No,Divorced,127k,Yes
Yes,Married,166k,No
Yes,Divorced,55k,Yes
Yes,Divorced,207k,No
Yes,Divorced,141k,No
No,Divorced,106k,Yes
No,Single,119k,No
No,Single,242k,No
Yes,Single,139k,No
Yes,Single,57k,No
Yes,Single,78k,No
No,Married,111k,No
No,Married,69k,Yes
Yes,Married,55k,No
No,Divorced,82k,Yes
Yes,Single,206k,No
No,Single,220k,No
No,Divorced,126k,No
No,Single,87k,Yes
No,Divorced,62k,Yes
No,Married,80k,No
No,Married,207k,No
No,Single,226k,No
No,Single,53k,Yes
No,Married,227k,Yes
No,Divorced,242k,No
No,Divorced,82k,Yes
Yes,Divorced,101k,No
Yes,Married,207k,No
No,Married,238k,No
Yes,Married,124k,No
No,Divorced,208k,No
Yes,Married,177k,No
Yes,Single,140k,No
Yes,Married,143k,No
No,Divorced,190k,Yes
Yes,Single,204k,No
No,Married,75k,No
No,Married,145k,No
Yes,Married,133k,Yes
No,Single,62k,Yes
Yes,Married,128k,No
No,Single,226k,No
Yes,Married,89k,No
No,Married,146k,Yes
No,Married,85k,No
No,Married,64k,No
Yes,Divorced,50k,No
No,Single,126k,Yes
No,Married,181k,Yes
Yes,Married,74k,No
No,Married,86k,No
No,Divorced,167k,No
No,Divorced,173k,No
Yes,Single,181k,No
No,Divorced,236k,No
Yes,Single,233k,No
No,Divorced,153k,No
No,Divorced,157k,Yes
No,Married,172k,Yes
No,Married,62k,No
No,Single,201k,No
Yes,Single,152k,No
Yes,Single,86k,No
No,Single,203k,No
No,Married,206k,No
No,Married,82k,No
Yes,Single,57k,No
No,Single,190k,No
No,Single,106k,No
Yes,Married,102k,No
No,Married,50k,No
No,Divorced,241k,No
No,Married,51k,No
No,Single,187k,No
No,Married,92k,Yes
No,Married,205k,No
No,Single,159k,No
No,Single,74k,Yes
Yes,Divorced,202k,No
No,Single,81k,Yes
No,Married,141k,No
No,Single,136k,Yes
No,Single,202k,Yes
No,Married,177k,No
No,Married,68k,No
Yes,Single,125k,No
No,Married,114k,No
No,Single,139k,No
No,Divorced,198k,No
Yes,Married,121k,No
No,Single,138k,No
No,Single,116k,No
No,Married,55k,No
No,Single,218k,No
Yes,Married,100k,Yes
No,Divorced,59k,Yes
No,Married,158k,No
Yes,Single,245k,No
No,Single,166k,No
Yes,Married,94k,No
No,Married,135k,No
Yes,Married,179k,No
Yes,Married,243k,No
No,Married,95k,No
Yes,Divorced,202k,No
Yes,Married,151k,No
No,Single,201k,No
No,Single,100k,No
No,Divorced,140k,No
Yes,Single,81k,No
No,Divorced,71k,Yes
No,Single,183k,No
No,Divorced,72k,Yes
No,Divorced,51k,Yes
No,Married,60k,No
No,Single,121k,No
Yes,Single,236k,No
Yes,Divorced,139k,No
No,Married,200k,No
No,Married,245k,Yes
Yes,Divorced,185k,No
Yes,Divorced,73k,No
Yes,Single,72k,No
Yes,Divorced,87k,No
No,Single,133k,No
Yes,Married,153k,No
Yes,Divorced,56k,No
No,Divorced,206k,No
Yes,Single,97k,Yes
No,Divorced,67k,Yes
No,Married,243k,Yes
Yes,Single,56k,No
No,Single,216k,No
No,Single,82k,Yes
No,Divorced,236k,Yes
No,Single,52k,Yes
No,Divorced,142k,No
No,Married,242k,No
No,Married,207k,Yes
No,Single,108k,No
No,Married,151k,No
Yes,Single,167k,No
Yes,Single,160k,No
No,Single,249k,No
No,Divorced,50k,Yes
No,Divorced,185k,No
No,Single,104k,No
No,Married,208k,No
No,Single,57k,Yes
Yes,Married,246k,No
Yes,Single,116k,No
Yes,Married,234k,No
No,Married,212k,Yes
Yes,Married,144k,No
No,Married,58k,No
No,Married,180k,No
Yes,Married,204k,No
No,Single,144k,No
No,Married,67k,No
No,Single,143k,No
No,Married,244k,No
No,Single,113k,Yes
No,Married,113k,No
No,Single,56k,Yes
Yes,Married,63k,No
Yes,Single,65k,No
No,Single,165k,Yes
No,Married,107k,No
No,Married,160k,Yes
Yes,Divorced,226k,No
No,Married,199k,No
Yes,Married,77k,No
No,Single,69k,Yes
Yes,Divorced,83k,No
No,Divorced,91k,Yes
No,Single,159k,Yes
No,Married,205k,No
Yes,Married,190k,No
Yes,Single,222k,No
No,Single,203k,Yes
No,Single,130k,No
Yes,Single,195k,No
Yes,Married,107k,Yes
No,Divorced,185k,Yes
No,Married,180k,No
No,Married,238k,No
No,Single,63k,Yes
Yes,Married,135k,No
No,Married,210k,No
No,Single,119k,No
Yes,Divorced,180k,No
No,Single,247k,No
No,Single,146k,No
No,Married,221k,No
No,Married,224k,No
No,Single,215k,No
No,Married,199k,No
No,Divorced,208k,No
No,Single,247k,No
No,Married,182k,No
No,Married,74k,Yes
No,Married,69k,Yes
Yes,Married,162k,No
Yes,Single,72k,No
No,Married,234k,No
Yes,Single,249k,No
No,Married,142k,No
No,Married,156k,No
No,Married,192k,No
No,Married,196k,No
No,Single,200k,Yes
No,Married,106k,No
Yes,Single,138k,Yes
No,Single,159k,Yes
No,Married,249k,No
No,Married,135k,No
No,Single,140k,No
No,Married,231k,No
Yes,Married,245k,No
Yes,Married,51k,No
No,Divorced,77k,Yes
No,Married,50k,No
Yes,Married,192k,No
Yes,Divorced,134k,No
No,Single,218k,No
No,Single,121k,No
No,Married,206k,No
No,Single,184k,No
Yes,Single,177k,No
No,Single,220k,No
No,Married,221k,No
No,Married,243k,No
Yes,Married,126k,Yes
Yes,Married,230k,No
No,Married,200k,No
Yes,Married,215k,No
No,Single,58k,Yes
No,Married,103k,No
No,Married,212k,Yes
No,Married,203k,No
No,Married,153k,Yes
Yes,Divorced,174k,No
No,Single,182k,No
No,Single,200k,No
No,Married,247k,No
Yes,Single,211k,No
No,Single,155k,No
No,Married,152k,No
No,Married,147k,No
No,Single,223k,No
Yes,Married,175k,No
No,Single,208k,No
Yes,Single,151k,Yes
No,Divorced,68k,Yes
No,Single,206k,No
No,Single,162k,Yes
Yes,Divorced,193k,No
Yes,Married,159k,No
No,Married,73k,No
No,Single,247k,No
Yes,Single,96k,No
Yes,Married,104k,No
Yes,Divorced,154k,No
Yes,Single,243k,No
No,Single,163k,No
Yes,Single,209k,No
Yes,Married,115k,No
No,Single,190k,No
No,Married,207k,No
No,Single,249k,No
No,Divorced,130k,No
Yes,Single,87k,No
No,Single,217k,No
No,Single,125k,No
No,Married,130k,No
No,Divorced,225k,No
No,Married,63k,Yes
No,Single,205k,No
Yes,Single,174k,No
No,Divorced,229k,No
No,Divorced,207k,No
No,Divorced,64k,Yes
No,Single,193k,Yes
Yes,Married,181k,No
No,Married,120k,No
Yes,Divorced,139k,No
Yes,Single,140k,Yes
Yes,Single,203k,No
No,Married,210k,No
Yes,Divorced,165k,No
Yes,Married,230k,No
No,Married,233k,No
No,Divorced,86k,Yes
No,Divorced,88k,Yes
No,Single,98k,Yes
Yes,Single,131k,Yes
No,Divorced,111k,Yes
Yes,Married,245k,No
No,Married,194k,No
Yes,Divorced,165k,Yes
Yes,Single,103k,No
No,Single,106k,No
Yes,Married,228k,No
No,Married,149k,No
No,Divorced,146k,No
Yes,Married,196k,No
No,Married,73k,No
Yes,Divorced,181k,No
No,Single,67k,Yes
Yes,Single,192k,No
Yes,Single,173k,No
No,Divorced,135k,No
Yes,Married,67k,No
No,Married,97k,No
No,Married,127k,No
No,Married,66k,Yes
Yes,Divorced,204k,No
No,Married,80k,No
Yes,Married,107k,No
No,Married,225k,No
No,Single,168k,No
Yes,Single,122k,No
No,Married,99k,No
Yes,Single,88k,No
Yes,Single,247k,No
No,Single,226k,No
No,Single,96k,Yes
No,Married,228k,No
No,Married,197k,No
No,Single,162k,No
No,Married,230k,No
No,Single,181k,No
No,Divorced,135k,No
Yes,Single,155k,No
No,Single,236k,No
Yes,Married,126k,No
Yes,Married,111k,No
Yes,Single,192k,No
No,Single,199k,No
No,Married,208k,No
Yes,Married,227k,No
No,Single,128k,Yes
No,Single,105k,No
No,Single,245k,No
No,Single,241k,No
No,Married,59k,No
No,Divorced,237k,Yes
Yes,Married,243k,No
No,Single,141k,No
No,Married,103k,No
No,Single,75k,Yes
No,Single,148k,No
No,Married,191k,No
No,Married,229k,No
Yes,Single,216k,No
Yes,Married,232k,No
Yes,Married,217k,No
No,Single,120k,No
No,Single,243k,No
Yes,Married,152k,No
No,Single,226k,No
No,Married,57k,No
No,Single,151k,No
No,Single,68k,Yes
No,Divorced,149k,Yes
Yes,Married,94k,No
No,Divorced,144k,No
No,Single,144k,Yes
No,Married,105k,No
No,Divorced,231k,No
No,Single,158k,Yes
No,Married,133k,No
Yes,Married,106k,No
No,Single,248k,No
No,Single,248k,No
No,Divorced,190k,No
No,Single,103k,No
Yes,Single,224k,No
No,Single,248k,No
No,Single,82k,Yes
No,Single,201k,No
Yes,Single,165k,No
No,Divorced,104k,Yes
Yes,Single,51k,No
No,Single,74k,Yes
No,Divorced,66k,Yes
No,Married,221k,No
No,Divorced,224k,No
No,Divorced,156k,No
No,Single,92k,Yes
Yes,Married,150k,No
No,Married,238k,No
No,Single,152k,No
No,Divorced,71k,Yes
Yes,Single,133k,No
No,Divorced,219k,No
Yes,Married,108k,No
No,Single,111k,No
No,Divorced,173k,No
Yes,Single,247k,No
Yes,Married,104k,No
No,Married,116k,Yes
No,Married,107k,No
Yes,Divorced,114k,No
No,Divorced,231k,No
No,Single,155k,No
Yes,Married,137k,No
No,Single,61k,Yes
No,Single,90k,Yes
No,Married,147k,Yes
No,Single,164k,No
Yes,Married,243k,No
No,Married,177k,No
No,Married,213k,No
No,Divorced,159k,No
Yes,Married,151k,No
No,Married,155k,No
No,Single,152k,No
No,Single,228k,No
No,Married,177k,No
No,Married,73k,No
No,Single,55k,Yes
No,Single,76k,Yes
No,Divorced,123k,No
No,Single,208k,No
No,Divorced,149k,No
No,Married,213k,No
Yes,Divorced,55k,No
No,Single,241k,No
Yes,Married,196k,No
Yes,Divorced,175k,No
No,Single,90k,Yes
No,Married,112k,No
No,Single,141k,No
No,Married,75k,No
Yes,Single,234k,No
No,Single,223k,No
No,Single,242k,No
No,Single,153k,No
No,Divorced,209k,No
No,Married,94k,No
No,Single,117k,No
No,Married,55k,No
No,Divorced,237k,Yes
No,Married,211k,No
No,Divorced,159k,No
No,Single,124k,No
No,Single,90k,Yes
No,Divorced,105k,Yes
No,Single,88k,Yes
No,Single,177k,No
No,Divorced,223k,Yes
No,Divorced,223k,No
No,Married,234k,No
No,Married,108k,No
Yes,Divorced,213k,No
Yes,Divorced,138k,No
No,Married,212k,No
Yes,Single,224k,No
No,Single,245k,Yes
Yes,Divorced,120k,No
Yes,Married,213k,No
No,Married,52k,No
Yes,Single,116k,No
No,Single,216k,No
No,Married,201k,No
Yes,Single,233k,No
No,Married,57k,No
No,Single,70k,Yes
No,Divorced,76k,Yes
Yes,Single,205k,No
No,Divorced,233k,No
No,Single,159k,Yes
No,Single,142k,No
Yes,Single,212k,No
No,Divorced,80k,Yes
No,Single,66k,Yes
No,Married,112k,No
No,Married,136k,No
No,Married,238k,No
No,Married,54k,No
No,Married,127k,No
Yes,Married,216k,No
No,Single,112k,No
Yes,Single,165k,No
No,Single,248k,No
Yes,Married,153k,No
No,Single,111k,No
No,Married,247k,No
No,Single,91k,Yes
No,Single,89k,Yes
No,Single,208k,No
No,Married,144k,No
No,Married,70k,Yes
No,Single,129k,Yes
Yes,Married,103k,No
No,Single,159k,No
No,Single,167k,Yes
No,Divorced,119k,Yes
No,Married,53k,No
Yes,Divorced,63k,No
No,Single,71k,Yes
No,Single,243k,No
Yes,Married,130k,No
No,Married,93k,No
No,Single,134k,No
No,Divorced,92k,Yes
No,Single,225k,No
Yes,Single,244k,No
No,Divorced,147k,Yes
No,Married,230k,Yes
Yes,Married,70k,No
No,Single,131k,No
No,Single,198k,No
No,Divorced,97k,Yes
No,Married,245k,No
No,Married,170k,No
Yes,Single,145k,No
No,Single,84k,Yes
No,Single,89k,Yes
Yes,Married,226k,No
No,Single,188k,No
No,Divorced,144k,Yes
Yes,Married,56k,No
No,Married,75k,No
Yes,Married,184k,No
No,Single,120k,No
Yes,Single,118k,No
Yes,Single,239k,No
No,Divorced,208k,No
No,Married,244k,Yes
Yes,Single,164k,No
No,Single,108k,No
No,Married,163k,No
No,Married,217k,No
No,Divorced,160k,No
No,Single,243k,Yes
Yes,Married,79k,No
No,Single,73k,Yes
No,Single,88k,Yes
No,Single,157k,No
No,Single,182k,Yes
No,Single,61k,Yes
No,Married,107k,No
No,Married,189k,No
Yes,Divorced,145k,No
No,Single,237k,No
No,Single,145k,Yes
No,Divorced,139k,No
No,Married,165k,No
No,Divorced,114k,Yes
No,Single,65k,Yes
No,Single,242k,Yes
No,Divorced,146k,No
No,Married,207k,No
No,Single,99k,Yes
No,Single,205k,No
Yes,Single,171k,Yes
No,Married,211k,Yes
Yes,Divorced,96k,No
Yes,Single,158k,No
Yes,Married,227k,No
No,Married,69k,Yes
No,Married,63k,No
Yes,Married,221k,No
No,Single,226k,No
No,Married,127k,No
Yes,Divorced,242k,No
No,Single,214k,No
No,Single,157k,No
Yes,Single,111k,No
No,Married,117k,No
No,Married,141k,No
No,Divorced,65k,Yes
No,Single,106k,No
No,Single,175k,No
No,Married,170k,No
No,Divorced,131k,No
No,Single,198k,No
No,Married,128k,No
No,Single,150k,Yes
No,Divorced,114k,Yes
Yes,Divorced,205k,No
No,Single,112k,No
No,Married,102k,No
No,Married,198k,No
Yes,Married,227k,No
No,Single,58k,Yes
No,Married,140k,Yes
Yes,Single,217k,No
No,Single,85k,Yes
Yes,Divorced,202k,No
No,Married,73k,No
No,Single,96k,Yes
Yes,Married,191k,No
Yes,Divorced,203k,No
No,Married,84k,No
No,Single,94k,Yes
Yes,Single,188k,No
Yes,Married,159k,No
Yes,Single,100k,No
No,Single,143k,No
No,Divorced,169k,No
No,Single,217k,No
Yes,Married,228k,No
No,Married,92k,No
No,Single,104k,No
Yes,Single,101k,No
Yes,Single,107k,No
No,Divorced,113k,Yes
No,Single,118k,Yes
No,Divorced,176k,No
No,Married,210k,No
No,Single,75k,Yes
No,Divorced,237k,Yes
Yes,Divorced,221k,No
No,Married,225k,Yes
No,Divorced,228k,No
No,Married,152k,No
No,Married,114k,No
No,Married,112k,No
No,Single,132k,No
No,Single,54k,Yes
No,Divorced,227k,No
No,Single,64k,Yes
Yes,Married,247k,No
No,Married,234k,No
Yes,Single,247k,No
Yes,Married,197k,No
No,Married,172k,No
No,Single,192k,No
No,Divorced,220k,No
Yes,Married,147k,No
No,Single,189k,No
No,Single,215k,No
No,Single,63k,Yes
No,Single,91k,Yes
No,Married,141k,No
Yes,Single,186k,No
No,Single,104k,No
No,Married,201k,No
Yes,Divorced,161k,No
No,Single,69k,Yes
No,Married,233k,No
No,Married,212k,No
No,Divorced,191k,No
No,Married,156k,No
No,Single,246k,No
No,Divorced,196k,Yes
Yes,Married,145k,No
No,Single,76k,Yes
No,Divorced,93k,Yes
No,Single,158k,No
No,Divorced,145k,No
Yes,Single,210k,No
Yes,Divorced,71k,No
No,Divorced,179k,No
No,Single,160k,No
No,Single,131k,No
No,Married,69k,Yes
No,Married,197k,No
Yes,Single,227k,No
Yes,Married,111k,No
Yes,Divorced,166k,No
Yes,Single,138k,Yes
No,Divorced,185k,No
No,Married,68k,No
No,Married,229k,No
Yes,Single,58k,No
Yes,Married,223k,No
No,Single,118k,Yes
No,Single,242k,No
No,Single,78k,Yes
No,Single,54k,Yes
Yes,Single,187k,No
No,Married,107k,No
No,Single,246k,No
Yes,Married,122k,No
No,Single,177k,No
No,Single,83k,Yes
No,Married,94k,No
Yes,Married,131k,No
No,Married,124k,No
Yes,Married,172k,No
No,Married,174k,No
No,Divorced,50k,Yes
Yes,Single,148k,No
No,Married,73k,No
No,Married,69k,No
Yes,Married,107k,No
No,Single,228k,No
No,Single,110k,No
Yes,Divorced,102k,No
Yes,Single,110k,No
No,Married,148k,No
No,Married,155k,No
Yes,Married,102k,No
No,Single,195k,No
No,Married,178k,Yes
No,Single,156k,No
No,Married,125k,No
Yes,Married,143k,No
No,Divorced,57k,Yes
No,Single,81k,Yes
No,Married,145k,No
No,Married,230k,No
No,Single,237k,No
Yes,Single,72k,No
Yes,Married,170k,No
Yes,Divorced,107k,No
Yes,Married,108k,No
Yes,Married,111k,No
No,Divorced,118k,Yes
No,Divorced,136k,No
Yes,Married,80k,No
No,Married,153k,No
Yes,Married,213k,No
Yes,Divorced,121k,No
No,Single,238k,No
Yes,Married,176k,No
No,Single,98k,Yes
Yes,Married,106k,No
No,Married,81k,No
No,Divorced,150k,No
No,Single,109k,No
No,Divorced,226k,No
Yes,Single,158k,No
No,Married,138k,No
No,Divorced,220k,No
No,Single,230k,No
No,Divorced,84k,Yes
Yes,Single,94k,No
No,Single,115k,No
No,Single,115k,No
Yes,Single,170k,Yes
No,Divorced,244k,No
No,Married,81k,Yes
No,Single,193k,No
No,Married,177k,No
No,Single,51k,Yes
No,Married,115k,No
No,Married,57k,No
No,Single,157k,Yes
Yes,Single,238k,No
No,Single,154k,No
Yes,Divorced,162k,No
No,Divorced,114k,Yes
No,Married,235k,No
No,Single,103k,No
No,Married,62k,No
No,Single,154k,No
No,Single,79k,Yes
No,Single,209k,No
No,Single,232k,No
No,Divorced,201k,No
Yes,Married,177k,No
No,Single,51k,Yes
No,Married,213k,No
No,Single,127k,No
No,Married,91k,Yes
No,Married,230k,Yes
No,Divorced,208k,No
No,Single,56k,Yes
No,Married,169k,Yes
Yes,Married,89k,Yes
No,Married,74k,No
No,Single,215k,No
No,Divorced,167k,No
No,Married,186k,No
No,Divorced,169k,No
No,Married,74k,Yes
No,Divorced,76k,Yes
No,Single,231k,No
Yes,Single,241k,No
No,Married,156k,No
No,Married,200k,Yes
Yes,Married,60k,No
Yes,Married,234k,No
Yes,Single,197k,No
No,Single,105k,No
Yes,Divorced,209k,No
No,Married,147k,No
Yes,Single,69k,No
No,Married,108k,No
No,Single,248k,No
Yes,Single,126k,No
Yes,Single,212k,No
Yes,Married,175k,Yes
No,Married,109k,No
Yes,Married,134k,No
Yes,Married,236k,No
No,Divorced,125k,No
Yes,Single,63k,No
Yes,Single,50k,No
No,Single,172k,No
Yes,Married,79k,Yes
Yes,Divorced,246k,No
No,Single,226k,No
Yes,Divorced,148k,No
No,Single,103k,No
No,Married,61k,No
Yes,Married,74k,No
No,Divorced,157k,No
No,Married,139k,No
Yes,Married,125k,No
No,Single,100k,Yes
No,Divorced,156k,Yes
No,Divorced,207k,No
Yes,Single,116k,No
No,Single,186k,Yes
No,Married,180k,No
No,Married,61k,No
Yes,Single,229k,No
No,Single,83k,Yes
No,Married,146k,Yes
No,Divorced,94k,Yes
No,Single,130k,No
No,Married,96k,No
No,Married,186k,No
No,Divorced,213k,No
Yes,Divorced,139k,No
No,Married,100k,No
Yes,Divorced,236k,No
No,Single,123k,No
No,Married,247k,No
No,Single,223k,No
No,Single,62k,Yes
No,Married,181k,No
Yes,Single,110k,No
No,Married,163k,No
No,Single,151k,Yes
No,Married,175k,No
Yes,Single,152k,No
Yes,Single,213k,No
Yes,Divorced,213k,No
Yes,Married,51k,No
No,Single,159k,No
Yes,Single,71k,No
Yes,Single,182k,No
No,Single,202k,No
Yes,Divorced,99k,No
No,Married,119k,No
No,Single,65k,Yes
No,Single,90k,Yes
No,Married,203k,No
Yes,Single,60k,No
No,Single,126k,No
No,Married,209k,Yes
No,Married,108k,No
Yes,Divorced,205k,No
No,Single,136k,No
No,Single,120k,No
No,Single,60k,Yes
Yes,Married,126k,No
No,Married,163k,No
No,Single,105k,No
No,Married,110k,No
